Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  802 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1598589,  1601705,  3116 
1 , 3524077,  3527206,  3129 , 3850989 
2 , 5290885,  5294025,  3140 , 3533627 
3 , 6956981,  6960133,  3152 , 3332204 
4 , 8562212,  8565377,  3165 , 3210475 
5 , 10106365,  10109540,  3175 , 3088316 
6 , 11616277,  11619464,  3187 , 3019836 
7 , 13081322,  13084522,  3200 , 2930103 
8 , 14525246,  14528457,  3211 , 2887859 
9 , 15931508,  15934730,  3222 , 2812535 
10 , 17324056,  17327289,  3233 , 2785107 
11 , 18684264,  18687510,  3246 , 2720429 
12 , 20035716,  20038974,  3258 , 2702916 
13 , 21358526,  21361795,  3269 , 2645631 
14 , 22675706,  22678986,  3280 , 2634371 
15 , 23966993,  23970286,  3293 , 2582587 
16 , 25255089,  25258393,  3304 , 2576203 
17 , 26519284,  26522470,  3186 , 2528272 
18 , 27782301,  27785629,  3328 , 2526176 
19 , 29022449,  29025790,  3341 , 2480309 
20 , 30263358,  30266709,  3351 , 2481828 
21 , 31482257,  31485620,  3363 , 2437810 
22 , 32703233,  32706609,  3376 , 2441965 
23 , 33903298,  33906685,  3387 , 2400141 
24 , 35106428,  35109826,  3398 , 2406271 
25 , 36289533,  36292945,  3412 , 2366224 
26 , 37476608,  37480029,  3421 , 2374159 
27 , 38644055,  38647489,  3434 , 2334907 
28 , 39816153,  39819598,  3445 , 2344207 
29 , 40969621,  40973077,  3456 , 2306947 
30 , 42128036,  42131505,  3469 , 2316843 
31 , 43268267,  43271749,  3482 , 2280475 
32 , 44414343,  44417836,  3493 , 2292163 
33 , 45542348,  45545852,  3504 , 2256021 
34 , 46676954,  46680471,  3517 , 2269225 
35 , 47793563,  47797091,  3528 , 2233229 
36 , 48917272,  48920811,  3539 , 2247429 
37 , 50023525,  50027076,  3551 , 2212518 
38 , 51137069,  51140633,  3564 , 2227101 
39 , 52233409,  52236986,  3577 , 2192693 
40 , 53337433,  53341021,  3588 , 2208059 
41 , 54424648,  54428248,  3600 , 2174442 
42 , 55519862,  55523473,  3611 , 2190439 
43 , 56598298,  56601921,  3623 , 2156884 
44 , 57685409,  57689043,  3634 , 2174233 
45 , 58755534,  58759181,  3647 , 2140263 
