Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  701 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1516370,  1519495,  3125 
1 , 3387236,  3390377,  3141 , 3741748 
2 , 5095804,  5098961,  3157 , 3417152 
3 , 6700001,  6703172,  3171 , 3208408 
4 , 8243071,  8246258,  3187 , 3086156 
5 , 9723970,  9727172,  3202 , 2961813 
6 , 11172784,  11176002,  3218 , 2897644 
7 , 12575841,  12579073,  3232 , 2806128 
8 , 13958435,  13961686,  3251 , 2765207 
9 , 15304971,  15308236,  3265 , 2693086 
10 , 16637547,  16640827,  3280 , 2665167 
11 , 17939425,  17942721,  3296 , 2603772 
12 , 19232290,  19235601,  3311 , 2585745 
13 , 20497851,  20501177,  3326 , 2531137 
14 , 21757602,  21760946,  3344 , 2519520 
15 , 22992734,  22996089,  3355 , 2470275 
16 , 24224765,  24228139,  3374 , 2464081 
17 , 25433643,  25437031,  3388 , 2417770 
18 , 26641480,  26644884,  3404 , 2415690 
19 , 27827630,  27831048,  3418 , 2372314 
20 , 29014254,  29017688,  3434 , 2373264 
21 , 30180383,  30183832,  3449 , 2332273 
22 , 31348183,  31351648,  3465 , 2335616 
23 , 32496452,  32499931,  3479 , 2296552 
24 , 33647273,  33650768,  3495 , 2301658 
25 , 34779380,  34782890,  3510 , 2264229 
26 , 35914947,  35918473,  3526 , 2271150 
27 , 37032396,  37035938,  3542 , 2234914 
28 , 38154035,  38157591,  3556 , 2243292 
29 , 39258088,  39261661,  3573 , 2208123 
30 , 40366993,  40370582,  3589 , 2217826 
31 , 41458828,  41462430,  3602 , 2183683 
32 , 42556080,  42559698,  3618 , 2194520 
33 , 43636570,  43640204,  3634 , 2160996 
34 , 44723021,  44726672,  3651 , 2172919 
35 , 45793042,  45796706,  3664 , 2140055 
36 , 46869507,  46873187,  3680 , 2152946 
37 , 47929742,  47933436,  3694 , 2120484 
38 , 48996843,  49000553,  3710 , 2134218 
39 , 50048012,  50051736,  3724 , 2102352 
40 , 51106416,  51110155,  3739 , 2116823 
41 , 52149109,  52152864,  3755 , 2085402 
42 , 53199461,  53203230,  3769 , 2100718 
43 , 54234148,  54237934,  3786 , 2069391 
44 , 55276827,  55280627,  3800 , 2085372 
45 , 56303953,  56307769,  3816 , 2054268 
46 , 57339418,  57343248,  3830 , 2070944 
47 , 58359458,  58363305,  3847 , 2040097 
48 , 59388062,  59391925,  3863 , 2057224 
49 , 60401401,  60405277,  3876 , 2026691 
50 , 61423532,  61427425,  3893 , 2044279 
51 , 62430476,  62434385,  3909 , 2013904 
52 , 63446489,  63450413,  3924 , 2032041 
53 , 64447393,  64451333,  3940 , 2001824 
54 , 65457649,  65461603,  3954 , 2020526 
55 , 66452832,  66456802,  3970 , 1990382 
56 , 67457651,  67461635,  3984 , 2009652 
57 , 68447402,  68451401,  3999 , 1979517 
58 , 69447003,  69451018,  4015 , 1999218 
59 , 70431590,  70435621,  4031 , 1969190 
60 , 71426174,  71430218,  4044 , 1989181 
61 , 72405834,  72409894,  4060 , 1959336 
62 , 73395718,  73399794,  4076 , 1979784 
63 , 74370659,  74374749,  4090 , 1949896 
64 , 75356062,  75360166,  4104 , 1970820 
65 , 76326597,  76330717,  4120 , 1941086 
66 , 77307755,  77311890,  4135 , 1962331 
67 , 78274013,  78278164,  4151 , 1932532 
68 , 79251053,  79255219,  4166 , 1954095 
69 , 80213214,  80217396,  4182 , 1924338 
70 , 81186307,  81190503,  4196 , 1946200 
71 , 82144514,  82148726,  4212 , 1916430 
72 , 83113789,  83118015,  4226 , 1938564 
73 , 84068151,  84072394,  4243 , 1908741 
74 , 85033780,  85038037,  4257 , 1931272 
75 , 85984399,  85988672,  4273 , 1901254 
76 , 86946487,  86950776,  4289 , 1924192 
77 , 87893535,  87897839,  4304 , 1894111 
78 , 88852275,  88856593,  4318 , 1917494 
79 , 89795878,  89800210,  4332 , 1887220 
80 , 90751356,  90755704,  4348 , 1910972 
81 , 91691688,  91696053,  4365 , 1880681 
82 , 92644015,  92648393,  4378 , 1904667 
83 , 93581184,  93585579,  4395 , 1874355 
84 , 94530518,  94534929,  4411 , 1898684 
85 , 95464666,  95469091,  4425 , 1868310 
86 , 96411087,  96415529,  4442 , 1892859 
87 , 97342304,  97346762,  4458 , 1862450 
88 , 98285959,  98290432,  4473 , 1887325 
89 , 99214312,  99218798,  4486 , 1856719 
90 , 100155256,  100159759,  4503 , 1881905 
91 , 101080888,  101085404,  4516 , 1851277 
92 , 102019200,  102023733,  4533 , 1876641 
93 , 102942203,  102946750,  4547 , 1846020 
94 , 103877975,  103882537,  4562 , 1871559 
95 , 104798381,  104802959,  4578 , 1840828 
96 , 105731733,  105736325,  4592 , 1866718 
97 , 106649682,  106654290,  4608 , 1835914 
98 , 107580660,  107585283,  4623 , 1861971 
99 , 108496165,  108500804,  4639 , 1831026 
100 , 109424864,  109429517,  4653 , 1857412 
101 , 110338068,  110342739,  4671 , 1826426 
102 , 111264554,  111269239,  4685 , 1852986 
103 , 112175465,  112180166,  4701 , 1821838 
104 , 113099810,  113104526,  4716 , 1848705 
105 , 114008486,  114013217,  4731 , 1817367 
106 , 114930762,  114935509,  4747 , 1844568 
107 , 115837288,  115842050,  4762 , 1813067 
108 , 116757533,  116762309,  4776 , 1840504 
109 , 117661975,  117666766,  4791 , 1808899 
110 , 118580237,  118585046,  4809 , 1836542 
111 , 119482631,  119487454,  4823 , 1804802 
112 , 120399003,  120403842,  4839 , 1832760 
